EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY,VIN,Equipment Type
3872,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,9600,2016-04-19T00:00:01.000,BIDADOO ONLINE AUCTION,5B4KP32Y3Y3322902,VAN - WALKIN
98242,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,3050,2017-08-21T00:00:01.000,BIDADOO ONLINE AUCTION,2W9MPH6199S044105,SCOOTER
98243,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,3800,2017-06-29T00:00:01.000,BIDADOO ONLINE AUCTION,2W9MPHS044106,SCOOTER
93809,2009,JOHN DEERE,62LI XUV GATOR,UTILITY VEHICLE 4 WHEEL,DPR,8600,2017-02-01T00:00:01.000,BIDADOO ONLINE AUCTION,MOXUVGX032927,UTILITY VEHICLE
98244,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,1500,2017-06-29T00:00:01.000,BIDADOO ONLINE AUCTION,2W9MPH6129S044107,SCOOTER
31428,2008,PETERBILT,340,SOLID WASTE TRUCK,SPU,65000,2018-10-19T00:00:01.000,MURPHYS AUCTION,2NPRLN0X78M758689,TRUCK - HEAVY
1035,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN TRAINING,SPD,125.01,2017-03-13T00:00:01.000,MURPHYS AUCTION,1P3ES46C9YD856474,SEDAN - SML
6606,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,14250,2019-02-07T00:00:01.000,BIDADOO ONLINE AUCTION,K005D03720X,FORKLIFT
71839,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,5500,2018-11-21T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20U477611653,SEDAN - SML - HYBRID
71866,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,6100,2018-11-21T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20U877621005,SEDAN - SML - HYBRID
71712,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,7320,2018-11-08T00:00:01.000,BIDADOO ONLINE AUCTION,JTDKB20U473235477,SEDAN - SML - HYBRID
3356,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,6250,2016-04-26T00:00:01.000,MURPHYS AUCTION,5B4KP32Y5Y3322898,VAN - WALKIN
95966,2009,PETERBILT,335,TRUCK - REFUSE PACKER - CLASS 7,DPR,34600,2018-05-09T00:00:01.000,BIDADOO ONLINE AUCTION,2NPRHN8X49M774890,TRUCK - REFUSE PACKER
